iter	Passed	Remaining
259	6035	17178
260	6060	17159
261	6079	17124
262	6098	17088
263	6113	17043
264	6141	17032
265	6159	16997
266	6179	16963
267	6197	16926
268	6216	16893
269	6236	16861
270	6255	16827
271	6273	16790
272	6292	16757
273	6316	16736
274	6338	16709
275	6359	16681
276	6410	16730
277	6438	16721
278	6467	16713
279	6489	16687
280	6513	16666
281	6540	16653
282	6561	16625
283	6585	16601
284	6608	16578
285	6628	16548
286	6646	16512
287	6665	16478
288	6736	16574
289	6764	16562
290	6783	16528
291	6802	16493
292	6819	16456
293	6839	16423
294	6858	16389
295	6876	16355
296	6894	16320
297	6913	16286
298	6932	16252
299	6948	16212
300	6964	16172
301	7005	16191
302	7028	16167
303	7046	16133
304	7065	16099
305	7084	16067
306	7101	16030
307	7117	15990
308	7133	15951
309	7149	15912
310	7165	15873
311	7180	15834
312	7198	15798
313	7215	15764
314	7240	15746
315	7267	15730
316	7286	15699
317	7304	15664
318	7319	15626
319	7336	15590
320	7352	15552
321	7368	15514
322	7385	15479
323	7402	15443
324	7418	15407
325	7435	15372
326	7481	15398
327	7500	15367
328	7520	15338
329	7544	15317
330	7560	15281
331	7580	15251
332	7616	15256
333	7646	15247
334	7665	15217
335	7691	15200
336	7716	15181
337	7736	15152
338	7759	15129
339	7781	15104
340	7800	15074
341	7822	15049
342	7844	15025
343	7863	14995
344	7881	14964
345	7907	14947
346	7930	14923
347	7946	14888
348	7963	14854
349	7991	14840
350	8010	14811
351	8027	14777
352	8043	14741
353	8067	14722
354	8086	14692
355	8105	14661
356	8122	14629
357	8138	14594
358	8154	14559
359	8169	14524
360	8185	14489
361	8201	14455
362	8219	14422
363	8235	14389
364	8251	14355
365	8276	14336
366	8293	14305
367	8310	14272
368	8326	14239
369	8343	14206
370	8361	14176
371	8377	14143
372	8394	14110
373	8410	14076
374	8428	14048
375	8454	14031
376	8472	14001
377	8489	13969
378	8505	13936
379	8522	13904
380	8549	13890
381	8569	13863
382	8585	13830
383	8602	13800
384	8626	13779
385	8645	13751
386	8662	13721
387	8678	13688
388	8699	13664
389	8724	13645
390	8746	13622
391	8770	13603
392	8790	13576
393	8809	13549
394	8831	13526
395	8853	13503
396	8875	13480
397	8895	13454
398	8914	13427
399	8937	13405
400	8958	13382
401	8982	13361
402	9003	13337
403	9024	13313
404	9043	13286
405	9063	13259
406	9095	13251
407	9133	13252
408	9195	13287
409	9230	13283
410	9271	13287
411	9347	13340
412	9387	13342
413	9412	13323
414	9447	13317
415	9474	13300
416	9498	13280
417	9521	13256
418	9552	13246
419	9575	13222
420	9599	13202
421	9626	13184
422	9648	13160
423	9668	13135
424	9691	13111
425	9714	13089
426	9736	13065
427	9760	13044
428	9784	13022
429	9808	13001
430	9832	12980
431	9854	12956
432	9872	12928
433	9894	12903
434	9915	12878
435	9936	12853
436	9955	12825
437	9983	12809
438	10004	12785
439	10026	12760
440	10046	12735
441	10070	12713
442	10103	12703
443	10142	12701
444	10169	12683
445	10197	12666
446	10220	12644
447	10242	12620
448	10271	12604
449	10292	12580
450	10315	12556
451	10337	12532
452	10362	12512
453	10384	12488
454	10410	12470
455	10432	12446
456	10454	12422
457	10474	12396
458	10494	12369
459	10517	12346
460	10541	12324
461	10563	12300
462	10585	12277
463	10606	12252
464	10626	12226
465	10648	12202
466	10672	12181
467	10692	12154
468	10714	12130
469	10737	12107
470	10763	12088
471	10789	12069
472	10812	12046
473	10835	12023
474	10857	12000
475	10878	11975
476	10902	11953
477	10921	11927
478	10943	11903
479	10965	11879
480	10992	11861
481	11013	11836
482	11036	11812
483	11056	11787
484	11076	11761
485	11096	11735
486	11126	11720
487	11148	11696
488	11168	11670
489	11201	11659
490	11225	11637
491	11249	11614
492	11269	11589
493	11289	11563
494	11310	11539
495	11338	11521
496	11360	11498
497	11384	11475
498	11406	11451
499	11426	11426
500	11446	11400
501	11464	11373
502	11487	11350
503	11509	11326
504	11528	11300
505	11553	11279
506	11574	11254
507	11597	11232
508	11619	11208
509	11638	11181
510	11660	11158
511	11685	11137
512	11708	11115
513	11730	11091
514	11753	11068
515	11771	11041
516	11788	11013
517	11804	10983
518	11821	10956
519	11840	10929
520	11866	10909
521	11884	10882
522	11902	10856
523	11920	10828
524	11944	10806
525	11963	10780
526	11980	10752
527	12000	10727
528	12019	10702
529	12036	10673
530	12053	10646
531	12070	10618
532	12088	10591
533	12105	10564
534	12121	10535
535	12139	10509
536	12156	10480
537	12172	10452
538	12190	10426
539	12210	10401
540	12230	10376
541	12252	10353
542	12272	10328
543	12289	10301
544	12306	10274
545	12325	10248
546	12344	10223
547	12361	10195
548	12378	10168
549	12397	10143
550	12414	10116
551	12431	10089
552	12458	10070
553	12484	10050
554	12536	10051
555	12570	10038
556	12594	10016
557	12613	9990
558	12630	9964
559	12649	9939
560	12673	9917
561	12703	9900
562	12723	9876
563	12742	9850
564	12761	9825
565	12781	9800
566	12800	9775
567	12820	9751
568	12839	9725
569	12856	9698
570	12872	9671
571	12898	9651
572	12915	9624
573	12935	9600
574	12965	9583
575	12988	9560
576	13006	9534
577	13027	9511
578	13052	9490
579	13079	9471
580	13107	9452
581	13128	9428
582	13153	9408
583	13179	9388
584	13206	9368
585	13229	9346
586	13249	9322
587	13266	9295
588	13282	9268
589	13299	9241
590	13315	9214
591	13333	9189
592	13351	9163
593	13368	9137
594	13386	9112
595	13408	9089
596	13431	9066
597	13448	9040
598	13465	9014
599	13482	8988
600	13501	8963
601	13520	8938
602	13536	8912
603	13551	8884
604	13570	8859
605	13588	8834
606	13607	8810
607	13628	8787
608	13647	8762
609	13667	8738
610	13695	8719
611	13716	8695
612	13736	8671
613	13753	8646
614	13775	8623
615	13796	8600
616	13818	8577
617	13836	8552
618	13853	8526
619	13872	8502
620	13891	8477
621	13956	8481
622	13976	8457
623	13994	8432
624	14010	8406
625	14027	8380
626	14095	8385
627	14178	8398
628	14209	8380
629	14265	8378
630	14289	8356
631	14320	8338
632	14345	8317
633	14365	8292
634	14393	8273
635	14413	8249
636	14432	8224
637	14452	8200
638	14480	8180
639	14499	8155
640	14517	8130
641	14537	8106
642	14554	8080
643	14573	8056
644	14592	8031
645	14610	8006
646	14626	7980
647	14644	7955
648	14661	7929
649	14678	7903
650	14694	7877
651	14714	7853
652	14730	7827
653	14748	7802
654	14765	7777
655	14781	7751
656	14797	7725
657	14815	7700
658	14831	7674
659	14849	7649
660	14867	7625
661	14887	7600
662	14907	7577
663	14929	7554
664	14947	7529
665	14970	7507
666	14990	7484
667	15015	7462
668	15034	7438
669	15068	7421
670	15087	7397
671	15106	7373
672	15131	7352
673	15150	7328
674	15169	7304
675	15198	7284
676	15219	7261
677	15238	7237
678	15257	7213
679	15287	7194
680	15308	7170
681	15327	7146
682	15351	7124
683	15372	7101
684	15390	7077
685	15411	7054
686	15435	7032
687	15454	7008
688	15474	6984
689	15500	6963
690	15519	6940
691	15540	6917
692	15564	6895
693	15638	6895
694	15759	6915
695	15829	6913
696	15873	6900
697	15914	6885
698	15943	6865
699	15963	6841
700	15981	6816
701	16000	6792
702	16021	6768
703	16055	6750
704	16075	6726
705	16112	6709
706	16134	6686
707	16153	6662
708	16171	6637
709	16190	6613
710	16209	6588
711	16227	6563
712	16244	6538
713	16260	6513
714	16276	6487
715	16292	6462
716	16308	6437
717	16324	6411
718	16339	6385
719	16355	6360
720	16371	6335
721	16387	6309
722	16403	6284
723	16421	6260
724	16438	6235
725	16455	6210
726	16471	6185
727	16487	6160
728	16503	6135
729	16521	6110
730	16536	6085
731	16551	6059
732	16567	6034
733	16584	6010
734	16599	5984
735	16615	5959
736	16631	5934
737	16647	5910
738	16664	5885
739	16682	5861
740	16700	5837
741	16720	5813
742	16739	5789
743	16755	5765
744	16772	5740
745	16787	5715
746	16806	5692
747	16823	5667
748	16840	5643
749	16856	5618
750	16875	5595
751	16897	5572
752	16914	5548
753	16931	5524
754	16948	5499
755	16966	5475
756	16982	5451
757	16998	5426
758	17014	5402
759	17031	5378
760	17046	5353
761	17064	5329
762	17080	5305
763	17097	5281
764	17119	5258
765	17141	5236
766	17158	5212
767	17174	5188
768	17193	5164
769	17212	5141
770	17232	5118
771	17253	5095
772	17269	5071
773	17288	5048
774	17309	5025
775	17325	5001
776	17342	4977
777	17360	4953
778	17377	4929
779	17394	4906
780	17409	4881
781	17425	4857
782	17445	4834
783	17465	4811
784	17484	4788
785	17506	4766
786	17525	4743
787	17547	4720
788	17568	4698
789	17588	4675
790	17610	4653
791	17632	4630
792	17651	4607
793	17666	4583
794	17686	4560
795	17701	4536
796	17721	4513
797	17741	4490
798	17763	4468
799	17793	4448
800	17819	4427
801	17847	4406
802	17881	4386
803	17903	4364
804	17962	4351
805	18010	4335
806	18036	4313
807	18065	4292
808	18085	4269
809	18104	4246
810	18124	4223
811	18152	4202
812	18171	4179
813	18193	4157
814	18213	4134
815	18232	4111
816	18256	4089
817	18277	4066
818	18296	4043
819	18327	4023
820	18347	4000
821	18366	3977
822	18385	3954
823	18404	3931
824	18425	3908
825	18444	3885
826	18463	3862
827	18481	3839
828	18499	3815
829	18519	3793
830	18543	3771
831	18565	3748
832	18587	3726
833	18611	3704
834	18633	3682
835	18658	3660
836	18681	3638
837	18704	3615
838	18728	3593
839	18749	3571
840	18776	3549
841	18795	3526
842	18824	3505
843	18845	3483
844	18884	3463
845	18915	3443
846	18940	3421
847	18974	3401
848	19010	3381
849	19033	3358
850	19056	3336
851	19076	3313
852	19095	3290
853	19114	3267
854	19137	3245
855	19157	3222
856	19177	3199
857	19198	3177
858	19227	3156
859	19255	3134
860	19281	3112
861	19304	3090
862	19326	3068
863	19348	3045
864	19371	3023
865	19391	3000
866	19418	2978
867	19445	2957
868	19475	2935
869	19497	2913
870	19521	2891
871	19547	2869
872	19582	2848
873	19607	2826
874	19644	2806
875	19672	2784
876	19694	2762
877	19723	2740
878	19744	2717
879	19763	2694
880	19789	2672
881	19808	2650
882	19827	2627
883	19847	2604
884	19875	2582
885	19894	2559
886	19916	2537
887	19991	2521
888	20048	2503
889	20070	2480
890	20109	2460
891	20136	2438
892	20156	2415
893	20177	2392
894	20196	2369
895	20216	2346
896	20239	2324
897	20265	2301
898	20286	2279
899	20309	2256
900	20331	2233
901	20353	2211
902	20381	2189
903	20400	2166
904	20420	2143
905	20441	2120
906	20464	2098
907	20485	2075
908	20512	2053
909	20538	2031
910	20568	2009
911	20675	1994
912	20710	1973
913	20742	1951
914	20765	1929
915	20789	1906
916	20832	1885
917	20861	1863
918	20893	1841
919	20932	1820
920	20974	1799
921	21005	1777
922	21031	1754
923	21054	1731
924	21076	1708
925	21101	1686
926	21134	1664
927	21161	1641
928	21187	1619
929	21208	1596
930	21227	1573
931	21248	1550
932	21293	1529
933	21318	1506
934	21338	1483
935	21368	1461
936	21396	1438
937	21426	1416
938	21477	1395
939	21513	1373
940	21548	1351
941	21576	1328
942	21602	1305
943	21628	1283
944	21661	1260
945	21690	1238
946	21714	1215
947	21734	1192
948	21763	1169
949	21812	1148
950	21843	1125
951	21869	1102
952	21890	1079
953	21909	1056
954	21927	1033
955	21945	1010
956	21965	986
957	21987	963
958	22006	940
959	22024	917
960	22043	894
961	22059	871
962	22074	848
963	22089	824
964	22107	801
965	22122	778
966	22137	755
967	22153	732
968	22171	709
969	22186	686
970	22201	663
971	22217	640
972	22232	616
973	22250	593
974	22271	571
975	22290	548
976	22305	525
977	22320	502
978	22337	479
979	22352	456
980	22368	433
981	22386	410
982	22406	387
983	22436	364
984	22458	342
985	22484	319
986	22508	296
987	22531	273
988	22553	250
989	22577	228
990	22596	205
991	22615	182
992	22632	159
993	22650	136
994	22673	113
995	22697	91
996	22718	68
997	22741	45
998	22766	22
999	22791	0
