iter	Logloss
0	0.6835015717
1	0.6747285004
2	0.6664626007
3	0.6587947083
4	0.651462265
5	0.6444273682
6	0.6387667847
7	0.633506485
8	0.6278328705
9	0.6225058899
10	0.6177708893
11	0.6135564728
12	0.6091436768
13	0.605217514
14	0.6019304047
15	0.5981741486
16	0.5953165283
17	0.5920979767
18	0.5892885895
19	0.586585907
20	0.5842123108
21	0.5820651703
22	0.580043808
23	0.5779741821
24	0.5760018311
25	0.5740789337
26	0.5722597809
27	0.5707695465
28	0.5693330383
29	0.5679000549
30	0.5664663849
31	0.5650100098
32	0.5637953033
33	0.5627615814
34	0.5616170654
35	0.5604368591
36	0.5593921204
37	0.5583506775
38	0.5572955322
39	0.5564443665
40	0.555493515
41	0.554614624
42	0.5540568237
43	0.5532415924
44	0.5526338501
45	0.551907959
46	0.5512265015
47	0.5506250458
48	0.5499845123
49	0.5494564209
50	0.5489539337
51	0.5484536285
52	0.54793367
53	0.5474891968
54	0.547052948
55	0.5466147766
56	0.5460854034
57	0.545711853
58	0.5453166351
59	0.5449975281
60	0.5446858521
61	0.5443838959
62	0.5441696472
63	0.5437142487
64	0.5434121857
65	0.5431360779
66	0.5428659515
67	0.5425379791
68	0.5422453003
69	0.5419285431
70	0.5416234436
71	0.5412897949
72	0.5410841522
73	0.5408206635
74	0.5405908051
75	0.5403219299
76	0.5400909119
77	0.53982341
78	0.5395314941
79	0.5393366852
80	0.5390970764
81	0.5388403931
82	0.538605072
83	0.5384057922
84	0.5381212769
85	0.5378430786
86	0.5376414185
87	0.5374116211
88	0.5372107391
89	0.5370808868
90	0.5368378296
91	0.5366137695
92	0.5364269562
93	0.5362049408
94	0.535970993
95	0.5357715912
96	0.5356324768
97	0.5355082397
98	0.5352702332
99	0.5350786133
100	0.5349037781
101	0.5347731628
102	0.5345573273
103	0.534326767
104	0.5341172638
105	0.5338246307
106	0.533650116
107	0.5334845886
108	0.533257843
109	0.5330623627
110	0.5328909302
111	0.5327330017
112	0.5325925751
113	0.5324080353
114	0.5322657776
115	0.5320494843
116	0.5318503876
117	0.5317166595
118	0.531543869
119	0.5313231201
120	0.5311194916
121	0.5309572144
122	0.5308463745
123	0.5306783905
124	0.5305179138
125	0.5303386078
126	0.5301669312
127	0.5300238647
128	0.5298966064
129	0.5297534027
130	0.5296136475
131	0.5294415741
132	0.5292779541
133	0.5291664886
134	0.5290797119
135	0.5289870148
136	0.5288877106
137	0.5287200623
138	0.5285191498
139	0.5283881226
140	0.5282157593
141	0.5281075592
142	0.5279508667
143	0.5278114624
144	0.52767453
145	0.5275093231
146	0.5273266754
147	0.5271867218
148	0.5270274353
149	0.5268539886
150	0.5267086945
151	0.5265484161
152	0.5264197845
153	0.5263145447
154	0.5261513824
155	0.5259983978
156	0.5259113464
157	0.5258033905
158	0.5256161804
159	0.5254990234
160	0.5253658752
161	0.5252067719
162	0.525067276
163	0.524953125
164	0.524836792
165	0.5247121887
166	0.5245842285
167	0.5244308929
168	0.5242340851
169	0.524137207
170	0.5239837189
171	0.5238505859
172	0.5236749115
173	0.5235275116
174	0.5233894882
175	0.5232396774
176	0.5230512238
177	0.5229045792
178	0.5227653885
179	0.5226667938
180	0.5225799561
181	0.5224580536
182	0.5223808136
183	0.5222052536
184	0.5220894623
185	0.5219732208
186	0.5217969666
187	0.5216338501
188	0.5214980774
189	0.5214008255
190	0.5212915497
191	0.5211976166
192	0.5211254272
193	0.5210009918
194	0.5208624649
195	0.520695755
196	0.5205557938
197	0.5204382401
198	0.5203100967
199	0.5201859589
200	0.5199690247
201	0.5199125824
202	0.5197532959
203	0.5196282806
204	0.5194983826
205	0.5193659363
206	0.5192575836
207	0.5191702271
208	0.5190356903
209	0.518828392
210	0.5186639099
211	0.5185144043
212	0.518377533
213	0.5182984314
214	0.5181960373
215	0.5180880585
216	0.5179492493
217	0.517737587
218	0.5176416245
219	0.5175785217
220	0.5174499435
221	0.5173595963
222	0.517214798
223	0.5170508118
224	0.5169182968
225	0.5167700348
226	0.5166495514
227	0.5164386292
228	0.5163566589
229	0.5162123718
230	0.5161255951
231	0.5160045547
232	0.5158988495
233	0.5158224716
234	0.5157133484
235	0.5155849228
236	0.5154886932
237	0.5153941803
238	0.5152532883
239	0.5150929871
240	0.5149354553
241	0.5148196716
242	0.5147472076
243	0.5146145706
244	0.5144620056
245	0.5143537903
246	0.514191391
247	0.5140817566
248	0.5139111176
249	0.5137465057
250	0.5136014786
251	0.5135175629
252	0.5134222565
253	0.5133062134
254	0.5132471008
255	0.513114151
256	0.5129816132
257	0.5128694916
258	0.5127754211
259	0.5127101898
260	0.5125717621
261	0.5124095917
